id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_bayi,jumlah_kematian,satuan,tahun
220,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ANAK BALITA,31,ORANG,2023
221,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BAYI,156,ORANG,2023
222,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ANAK BALITA,9,ORANG,2023
223,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAYI,415,ORANG,2023
224,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ANAK BALITA,10,ORANG,2023
225,32,JAWA BARAT,3205,KABUPATEN GARUT,BAYI,320,ORANG,2023
226,32,JAWA BARAT,3205,KABUPATEN GARUT,ANAK BALITA,7,ORANG,2023
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAYI,263,ORANG,2023
228,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ANAK BALITA,7,ORANG,2023
229,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAYI,123,ORANG,2023
230,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ANAK BALITA,12,ORANG,2023
231,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAYI,152,ORANG,2023
232,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ANAK BALITA,11,ORANG,2023
233,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAYI,273,ORANG,2023
234,32,JAWA BARAT,3209,KABUPATEN CIREBON,ANAK BALITA,14,ORANG,2023
235,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAYI,144,ORANG,2023
236,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ANAK BALITA,14,ORANG,2023
237,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAYI,187,ORANG,2023
238,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ANAK BALITA,9,ORANG,2023
239,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BAYI,194,ORANG,2023
240,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ANAK BALITA,0,ORANG,2023
241,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAYI,136,ORANG,2023
242,32,JAWA BARAT,3213,KABUPATEN SUBANG,ANAK BALITA,1,ORANG,2023
243,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BAYI,118,ORANG,2023
